usage_id	word	orth	sense_id	gloss	example	indices_target_token	date	period
train_ru_0	миро	миро	miro_f2cnblJ7iBg	Миро, мvро ср., благовонное масло, пахучая масть или душистое маслянистое вещество.			old	old
train_ru_1	миро	миро	miro_8igZuzZK97Q	религ. жидкое ароматическое масло, освящаемое патриархом или митрополитом, используемое в таинстве миропомазания, при освящении престолов и антиминсов православных храмов, при венчании монарха на царство	Затем ключарь приглашает, чтобы женщины вышли из алтаря… Подаёт святое миро. Архиерей помазует крестообразно сначала трапезу в тех местах, где во время литургии стоит евангелие, дискос и потир.		new	new
train_ru_2	миро	миро	miro_8igZuzZK97Q	религ. жидкое ароматическое масло, освящаемое патриархом или митрополитом, используемое в таинстве миропомазания, при освящении престолов и антиминсов православных храмов, при венчании монарха на царство	Они вездѣ однимъ мvромъ мазаны. Мvромъ покрытъ (т. е. помазанъ), съ миромъ заспитъ. Рогожцы въ		old	old
train_ru_3	миро	миро	miro_o98UfpSoYH4	религ. жидкость, иногда чудесным образом выделяющаяся на иконах и мощах святых	Мощи святого хранятся здесь до сих пор, продолжая источать миро.		new	new
train_ru_4	миро	миро	miro_o98UfpSoYH4	религ. жидкость, иногда чудесным образом выделяющаяся на иконах и мощах святых	Иосиф увидел, что по иконе Богородицы текли струйки мира, которое и издавало благоухание.		new	new
train_ru_5	могила	могила	mogila_WTu4h3aBxzE	место гибели кого-либо	Сын моря, средь морей твоя могила! // Вот мщение за муки стольких дней!		new	new
train_ru_6	могила	могила	mogila_WTu4h3aBxzE	место гибели кого-либо			old	old
train_ru_7	могила	могила	mogila_tIDU4ESBhQs	большая древняя насыпь, курганъ, гдѣ по преданью погребены могутники, богатыри;			old	old
train_ru_8	могила	могила	mogila_DMlmUDbp1Hg	курганъ или холмъ вообще.	юж.		old	old
train_ru_9	могила	могила	mogila_bBHZ-GD99Pc	перен. смерть; кончина; гибель	Неизвестно, что бы он сделал, как вдруг мост заколебался у него под ногами; он оглянулся: боже мой! он на краю пропасти: перед ним зияет могила: половина моста отделилась и отплывает прочь…		new	new
train_ru_10	могила	могила	mogila_bBHZ-GD99Pc	перен. смерть; кончина; гибель	— А на что тебе, батюшка Иван Иваныч, разрыв-травы? — Давит, говорит, могила давит, Трофимыч: вон хочется, вон… — Вишь какой! — заметил Федя, — мало, знать, пожил. — Экое диво!		new	new
train_ru_11	могила	могила	mogila_bBHZ-GD99Pc	перен. смерть; кончина; гибель	Гомола ломъ, куча и взя Данiилъ смолу..... и сотвори гомолу, Дан.14, 27; гомола, ю-слав. могила; вѣроятно отъ комъ какъ ладонь, долонь Каковъ въ колыбельку, таковъ и въ могилку, неисправимъ. Упрямаго исправитъ дубина, горбатаго могила. Сила уму могила. Живьемъ въ могилу не кладутъ. Мертвый не безъ могилы. Словно изъ могилы всталъ, тощъ, хилъ. У него одна нога въ могилѣ. Могила не все покрыла концы на тотъ свѣтъ вышли. Пѣсни пой, а въ могилу ложись. Житейское твори, а въ могилу ложись. Подъ заступъ, въ могилку, да укрыться дернинкой. Въ могилу глядитъ, а надъ копейкой дрожитъ. Человѣкъ не безъ квартирки, а мертвый не безъ могилки. Живой не безъ мѣста, мертвый не безъ могилы. Больной отъ могилы бѣжитъ, а здоровый въ могилу спѣшитъ. Плетью (розгой) въ могилу не вгонишь, а калачемъ не выгонишь (не выманишь). Горе умереть, а за могилой дѣло не станетъ! Чужая совѣсть - могила.		old	old
train_ru_12	могила	могила	mogila_nC45dqLTUSQ	перен., разг. человек, надёжно хранящий тайну	…я никому никогда не рассказывал, тебе первому сейчас расскажу, конечно Ивана исключая, Иван всё знает. Раньше тебя давно знает. Но Иван — могила.		new	new
train_ru_13	могила	могила	mogila_nC45dqLTUSQ	перен., разг. человек, надёжно хранящий тайну	А до порта тебя мой Степка проводит — его тут все знают, пойдёте тихими улицами. Его не пасись: не человек — могила!		new	new
train_ru_14	могильный	могильный	mogil'nyj_GUn5GrgpzqE	, къ могилѣ относящiйся. - [	Казалось, перед революцией удесятерилось ожидание, предчувствие, предвидение золотого века, рая на земле; казалось, вся душа нации исступленно бредила и грезила чем-то единым, в котором сплетались нерасторжимо смерть и бессмертие, золотой век и гибель, могильный мрак и ослепительный свет…		new	new
train_ru_15	могильный	могильный	mogil'nyj_GUn5GrgpzqE	, къ могилѣ относящiйся. - [	И первое время в офисах трёх компаний стояла могильная тишина, сотрудники общались друг с другом записочками, только скрипели перья.		new	new
train_ru_16	могильный	могильный	mogil'nyj_GUn5GrgpzqE	, къ могилѣ относящiйся. - [	Я погладила сумку, даже через замшу рука ощутила могильный холод пистолета.		new	new
train_ru_17	могильный	могильный	mogil'nyj_GUn5GrgpzqE	, къ могилѣ относящiйся. - [	памятникъ, - запахъ, -ная тишина. Комъ могильной земли къ сердцу, скорбь отляжетъ.		old	old
train_ru_18	могильный	могильный	mogil'nyj_GUn5GrgpzqE	, къ могилѣ относящiйся. - [	Молоток лежит на окне — должно быть, им прибивают к могильным крестам дощечки.		new	new
train_ru_19	могильный	могильный	mogil'nyj_GUn5GrgpzqE	, къ могилѣ относящiйся. - [	Могильные плиты на столичном погосте заросли бурьяном, кресты подкосились, всё казалось поваленным или придавленным.		new	new
train_ru_20	могильный	могильный	mogil'nyj_UpvKYrgUrG4	трад.-поэт. связанный со смертью, кончиной, гибелью	Я — слабый, бедный узник, Что через час заснёт могильным сном…		new	new
train_ru_21	мокрица	мокрица	mokritsa_F8LmcHB_LK0	зоол. мелкое наземное ракообразное животное отряда равноногих, живущее в сырых тёплых местах (Oniscidea)	Зато она очень любила мыть полы и исполняла это занятие так часто и с таким усердием, что в квартире скоро завелась сырость и показались мокрицы.		new	new
train_ru_22	мокрица	мокрица	mokritsa_F8LmcHB_LK0	зоол. мелкое наземное ракообразное животное отряда равноногих, живущее в сырых тёплых местах (Oniscidea)	― Знаешь, до встречи с тобой я была такая трусиха, правда, я лыжница и плаваю хорошо, у меня первый разряд, но всё равно я трусиха, мышей боюсь, и мокриц, и сороконожек.		new	new
train_ru_23	мокрица	мокрица	mokritsa_F8LmcHB_LK0	зоол. мелкое наземное ракообразное животное отряда равноногих, живущее в сырых тёплых местах (Oniscidea)	Ребятишки, что мокрицы отъ сырости разводятся.		old	old
train_ru_24	мокрица	мокрица	mokritsa_QWoinL8DXHc	ботан. однолетнее травянистое сорное растение семейства гвоздичных с лежачими стеблями и мелкими белыми звёздчатыми цветочками, растущее в сырых и затенённых местах (Stellaria media)	Очень долго (до 15-20 лет) могут сохраняться в почве семена сорняков: лебеды, мари, мокрицы.		new	new
train_ru_25	мокрица	мокрица	mokritsa_QWoinL8DXHc	ботан. однолетнее травянистое сорное растение семейства гвоздичных с лежачими стеблями и мелкими белыми звёздчатыми цветочками, растущее в сырых и затенённых местах (Stellaria media)	В садике-дворике маленькие клёны, заросшая мокрицей и подорожником узкая тропинка вокруг неровного бугра.		new	new
train_ru_26	мокрица	мокрица	mokritsa_QWoinL8DXHc	ботан. однолетнее травянистое сорное растение семейства гвоздичных с лежачими стеблями и мелкими белыми звёздчатыми цветочками, растущее в сырых и затенённых местах (Stellaria media)			old	old
train_ru_27	мокрица	мокрица	mokritsa_NU2Phph_oto	Растн. ряска, Lemna.	мокрица, мокричка,		old	old
train_ru_28	мокрица	мокрица	mokritsa_7EXV4pJGKPY	Топтунъ, Polygonum aviculare, спорышъ, брылёна.			old	old
train_ru_29	моль	моль	mol'_fFYnDd3stx8	энтомол. небольшая бабочка, гусеница которой является вредителем шерстяных вещей, хлебных зёрен и растений	Но только что он успокоился в своей позе, как над столом пролетела моль.		new	new
train_ru_30	моль	моль	mol'_fFYnDd3stx8	энтомол. небольшая бабочка, гусеница которой является вредителем шерстяных вещей, хлебных зёрен и растений	моль шубная, платяная, сырная,		old	old
train_ru_31	моль	моль	mol'_VT2eBtRd79g	новг. слово из Новгородской губернии Опд.Дополнение к опыту областного великорусского словаря. Спб. 1858.	Моль овощная, тля, мотылица, метлица, которой гусеница поѣдаетъ соты. [Моль, мелюзга, мелочь, измельчонныя вещи.		old	old
train_ru_32	моль	моль	mol'_maXL0YIzbwU	Самая мелкая рыбка, недавно выведшаяся, мольга, молька, молява, -лявка, мальга,			old	old
train_ru_33	моль	моль	mol'_mh8HLrNiwTM	Снетки свѣжiе также называются	молью;		old	old
train_ru_34	моль	моль	mol'_I67_IuF1CHY	съѣла.	нвг. самый мелкiй снѣжокъ. Моль одежу тлитъ, а печаль сердце (или человѣка). Набивай носъ табачкомъ, въ головѣ моль не заведется! На зубахъ мозоли, ногти распухли, волоса моль		old	old
train_ru_35	моль	моль	mol'_HxCWqBPrHM4	2. м., въ музыкѣ миноръ или грустный ладъ, мягкое созвучье,			old	old
train_ru_36	моль	моль	mol'_0iGR2YsXjpM	хим., физ. основная единица количества вещества в Международной системе единиц	Мольное отношение r — число молей одного компонента на один моль другого.		new	new
train_ru_37	моль	моль	mol'_0iGR2YsXjpM	хим., физ. основная единица количества вещества в Международной системе единиц	Очевидно, что моль одного вещества во столько же раз больше моля другого, во сколько раз молекула первого тяжелее молекулы второго.		new	new
train_ru_38	моль	моль	mol'_0iGR2YsXjpM	хим., физ. основная единица количества вещества в Международной системе единиц	М — масса 1 моль растворённого вещества (численно равная молекулярному весу), г.		new	new
train_ru_39	молекулярный	молекулярный	molekuljarnyj_KlktxNtYn_g	хим., физ. относящийся к молекуле, молекулам, свойственный молекуле, принадлежащий молекуле и т. п.	Можно бы и смириться с этими цифрами, да на молекулярном уровне закись азота в 300 раз эффективнее другого тепличного газа — углекислого.		new	new
train_ru_40	молекулярный	молекулярный	molekuljarnyj_KlktxNtYn_g	хим., физ. относящийся к молекуле, молекулам, свойственный молекуле, принадлежащий молекуле и т. п.	«Можно было бы себе представить, ― говорит далее Бернштейн, ― что молекулярный механизм нерва приспособился к этому естественному периоду освобождения энергии, так что он сам их воспроизводит, если его искусственно не принудили к усвоению другого периода».		new	new
train_ru_41	молекулярный	молекулярный	molekuljarnyj_KlktxNtYn_g	хим., физ. относящийся к молекуле, молекулам, свойственный молекуле, принадлежащий молекуле и т. п.	вѣсъ, -ная сила		old	old
train_ru_42	молекулярный	молекулярный	molekuljarnyj_8f5T2xbkPLk	хим. состоящий из молекул	В качестве побочного, но очень важного продукта образуется молекулярный кислород.		new	new
train_ru_43	мораль	мораль	moral'_L9xfEoeFqW8	ж., фрнц. французский язык нравоученье, нравственное ученье, правила для воли, совѣсти человѣка. [].	Выглянула из двери, повиснув на костылях, пожилая, встрёпанная, читает мораль.		new	new
train_ru_44	мораль	мораль	moral'_L9xfEoeFqW8	ж., фрнц. французский язык нравоученье, нравственное ученье, правила для воли, совѣсти человѣка. [].	Она была их утешительницей, душеприказчицей, казначеем, лекарем и духовною матерью: ей первой бежал солдатик открыть свое горе, заключавшееся в потере штыка, или в иной подобной беде, значения которой не понять тому, кто не носил ранца за плечами, — и Катерина Астафьевна не читала никаких моралей и наставлений, а прямо помогала, как находила возможным.		new	new
train_ru_45	мораль	мораль	moral'_L9xfEoeFqW8	ж., фрнц. французский язык нравоученье, нравственное ученье, правила для воли, совѣсти человѣка. [].	Сытая мораль ародн. дурная слава. Про меня мораль пошла. Онъ на меня мораль наводитъ		old	old
train_ru_46	мораль	мораль	moral'_L9xfEoeFqW8	ж., фрнц. французский язык нравоученье, нравственное ученье, правила для воли, совѣсти человѣка. [].	Сегодня в нашем обществе насаждается потребительское мировоззрение, поощряются эгоистические устремления человека, попирается христианская мораль с её жертвенностью и устремленностью к высшим идеалам.		new	new
train_ru_47	мораль	мораль	moral'_eKPPBHOtdOI	исч. вывод из чего-нибудь; нравственный урок	Мораль сей басни проста как правда: такое в жизни бывает, что ни в сказке сказать, ни пером описать!		new	new
train_ru_48	морда	морда	morda_hn4TuI__NMQ	груб., прост. лицо человека, рожа	Морды каменные, плечи квадратные, лица непроницаемо-туповатые.		new	new
train_ru_49	морда	морда	morda_hn4TuI__NMQ	груб., прост. лицо человека, рожа	Казалось, что толстые расфранченные, разодетые в пух и прах баре отдали в распоряжение услужливых парикмахеров свои откормленные, густо напудренные морды.		new	new
train_ru_50	морда	морда	morda_hn4TuI__NMQ	груб., прост. лицо человека, рожа	Вглядывайтесь в эти морды, молодые, тупые, равнодушные, привычные ко всякому зверству, да не воротите нос, ваши собственные предки были не лучше.		new	new
train_ru_51	морда	морда	morda_hn4TuI__NMQ	груб., прост. лицо человека, рожа	Утри мордищу! У нея хорошенькая мордочка; она взяла своею мордочкой! Растенiе морда - козья,		old	old
train_ru_52	морда	морда	morda_6P4gQf5-R0s	1. рыло, рожа животныхъ, выдавшаяся часть головы со ртомъ, верхняя и нижняя скулы.	Морда лошади, храпъ; лягавой собаки, чутьё; борзой, щипецъ.		old	old
train_ru_53	морда	морда	morda_7dOyKpTnVlY	Veronica; - Caryophyllus.	ослиная, Anchusa; - собачья, Antirrhinum; - ужовая,		old	old
train_ru_54	морда	морда	morda_JG4rXRJUU3A	рыбол., рег. рыболовная снасть, род верши	< … > весной сильно разливается и нагоняет множество рыбы в маленькие речки и соединяющиеся с ними озера, откуда она, когда главная река возвратится в берега свои, идёт на прежнее место и ловится мерёжами или мордами, сплетёнными из ивовых прутьев.		new	new
train_ru_55	морда	морда	morda_JG4rXRJUU3A	рыбол., рег. рыболовная снасть, род верши	Зимою рыбы добывают мерёжами и мордами, а зверей больше плашками.		new	new
train_ru_56	морда	морда	morda_JG4rXRJUU3A	рыбол., рег. рыболовная снасть, род верши	В них живут, зимой и летом, заправские рыболовы ― мастеровые и мещане ― и рыболовят неводами, мережами, мордами, а иногда и удочками.		new	new
train_ru_57	морда	морда	morda_JG4rXRJUU3A	рыбол., рег. рыболовная снасть, род верши	Рыболовная морда нерша, нерето, лозовая плетенка съ двойною воронкою, съ крыльями изъ тычинокъ; плетеная верша. Влѣзъ, что въ морду (въ вентеръ) ни взадъ, ни впередъ!		old	old
train_ru_58	моська	моська	mos'ka_M35U7YVF7rw	шутл. или ласк., прост. лицо (человека), морда (животного)	Боже мой, как вы его под льва обстригли, он на вас не обиделся? такой смешной, а моська такая серьезная.		new	new
train_ru_59	моська	моська	mos'ka_M35U7YVF7rw	шутл. или ласк., прост. лицо (человека), морда (животного)	Барыня		old	old
train_ru_60	моська	моська	mos'ka_9k31tM65YTU	разг. небольшая собака	Старая разжиревшая моська и молодой легавый пес первые приветствовали возвращающихся хозяев радостным лаем.		new	new
train_ru_61	моська	моська	mos'ka_9k31tM65YTU	разг. небольшая собака	У обеих было по ридикюлю, а у Надежды Васильевны высокая золотая табакерка, около неё несколько носовых платков и моська, старая, всегда заспанная, хрипящая и от старости не узнающая никого из домашних, кроме своей хозяйки.		new	new
train_ru_62	моська	моська	mos'ka_9k31tM65YTU	разг. небольшая собака			old	old
train_ru_63	моська	моська	mos'ka_Xe1_CFuMn3Q	пренебр., перен. кто-либо неважный, незначительный, слабый	Но когда гусеничный трактор, пыхтя и отдуваясь, волочил эту многомоторную громадину в самый дальний угол летного поля, нельзя было не улыбнуться: моська волокла слона.		new	new
train_ru_64	моська	моська	mos'ka_Xe1_CFuMn3Q	пренебр., перен. кто-либо неважный, незначительный, слабый	Так, грубиян-мальчишка, моська ― «знать, она сильна, что лает на слона!»		new	new
train_ru_65	мрачный	мрачный	mrachnyj_b0VucXcL99E	, темный, несвѣтлый; угрюмый, задумчивый, невеселый.	Он первый перед ними явился мрачным и разочарованным, первый говорил им об утраченных радостях и об увядшей своей юности.		new	new
train_ru_66	мрачный	мрачный	mrachnyj_b0VucXcL99E	, темный, несвѣтлый; угрюмый, задумчивый, невеселый.	Мрачная погода, небо. Мрачные цвѣта. Мрачное лицо, -ная дума.		old	old
train_ru_67	мрачный	мрачный	mrachnyj_b0VucXcL99E	, темный, несвѣтлый; угрюмый, задумчивый, невеселый.	Редко где найдётся столько мрачных, резких и странных влияний на душу человека, как в Петербурге.		new	new
train_ru_68	мрачный	мрачный	mrachnyj_b0VucXcL99E	, темный, несвѣтлый; угрюмый, задумчивый, невеселый.	Это отдельная мрачная тема, но после этого я не могу говорить с уверенностью, что не изменилось ничего. Конечно, поправки к этому не имеют никакого отношения, но вообще очень мрачное событие.		new	new
train_ru_69	мрачный	мрачный	mrachnyj_b0VucXcL99E	, темный, несвѣтлый; угрюмый, задумчивый, невеселый.	Раз только, когда я каким-то ничтожным вопросом вывел его из забытья, он обвёл глазами мостовую, серый забор, и в глазах его на мгновение сверкнула мрачная злоба.		new	new
train_ru_70	мрачный	мрачный	mrachnyj_b0VucXcL99E	, темный, несвѣтлый; угрюмый, задумчивый, невеселый.	Говоря это, он то раскрывал, то сжимал руку и наконец, довольный своей шуткой, выбежал, опередив Польдишока, по мрачной лестнице в коридор нижнего этажа.		new	new
train_ru_71	мука	мука	muka_BKnZRSdVQz0	что-либо измельчённое или превращённое в порошок	На фабриках кору измельчают в муку, а затем обрабатывают известью и едким натром, чтобы отделить дубильные кислоты, а оставшиеся в коре основания извлекают бензолом или толуолом.		new	new
